hs	1	A1BG
hs	10	NAT2
hs	100	ADA
hs	1000	CDH2
hs	10000	AKT3
hs	100008586	GAGE12F
hs	100008587	RNA5-8S5
hs	100008588	RNA18S5
hs	100008589	RNA28S5
hs	100009601	TRY-GTA7-1
hs	100009602	TRY-GTA5-2
hs	100009603	TRA-AGC11-1
hs	100009604	TRA-AGC8-1
hs	100009605	TRF-GAA2-1
hs	100009606	TRF-GAA1-2
hs	100009607	TRH-GTG1-9
hs	100009613	ANO1-AS2
hs	100009667	POU5F1P5
hs	100009668	POU5F1P6
hs	100009669	POU5F1P7
hs	100009675	MRT4
hs	100009676	ZBTB11-AS1
hs	10001	MED6
hs	10002	NR2E3
hs	10003	NAALAD2
hs	100033391	VN2R2P
hs	100033392	VN2R3P
hs	100033395	VN2R6P
hs	100033396	VN2R7P
hs	100033398	VN2R10P
hs	100033399	VN2R11P
hs	100033400	VN2R12P
hs	100033401	VN2R13P
hs	100033402	VN2R14P
hs	100033403	VN2R15P
hs	100033404	VN2R16P
hs	100033406	VN2R18P
hs	100033407	VN2R19P
hs	100033408	VN2R20P
hs	100033409	OTX2P1
hs	100033411	DUXB
hs	100033413	SNORD116-1
hs	100033414	SNORD116-2
hs	100033415	SNORD116-3
hs	100033416	SNORD116-4
hs	100033417	SNORD116-5
hs	100033418	SNORD116-6
hs	100033419	SNORD116-7
hs	100033420	SNORD116-8
hs	100033421	SNORD116-9
hs	100033422	SNORD116-10
hs	100033423	SNORD116-11
hs	100033424	SNORD116-12
hs	100033425	SNORD116-13
hs	100033426	SNORD116-14
hs	100033427	SNORD116-15
hs	100033428	SNORD116-16
hs	100033429	SNORD116-17
hs	100033430	SNORD116-18
hs	100033431	SNORD116-20
hs	100033432	SNORD116-21
hs	100033433	SNORD116-22
hs	100033434	SNORD116-23
hs	100033435	SNORD116-24
hs	100033436	SNORD116-25
hs	100033437	SNORD115-2
hs	100033438	SNORD116-26
hs	100033439	SNORD116-27
hs	100033440	SNORD115-3
hs	100033441	SNORD115-4
hs	100033442	SNORD115-5
hs	100033443	SNORD115-6
hs	100033444	SNORD115-7
hs	100033445	SNORD115-8
hs	100033446	SNORD115-9
hs	100033447	SNORD115-10
hs	100033448	SNORD115-11
hs	100033449	SNORD115-12
hs	100033450	SNORD115-13
hs	100033451	SNORD115-14
hs	100033453	SNORD115-15
hs	100033454	SNORD115-16
hs	100033455	SNORD115-17
hs	100033456	SNORD115-18
hs	100033458	SNORD115-19
hs	100033460	SNORD115-20
hs	100033603	SNORD115-21
hs	100033799	SNORD115-22
hs	100033800	SNORD115-23
hs	100033801	SNORD115-25
hs	100033802	SNORD115-26
hs	100033803	SNORD115-29
hs	100033804	SNORD115-30
hs	100033805	SNORD115-31
hs	100033806	SNORD115-32
hs	100033807	SNORD115-33
hs	100033808	SNORD115-34
hs	100033809	SNORD115-35
hs	100033810	SNORD115-36
hs	100033811	SNORD115-37
hs	100033812	SNORD115-38
hs	100033813	SNORD115-39
hs	100033814	SNORD115-40
hs	100033815	SNORD115-41
hs	100033816	SNORD115-42
hs	100033817	SNORD115-43
hs	100033818	SNORD115-44
hs	100033819	MIR675
hs	100033820	SNORD116-28
hs	100033821	SNORD116-29
hs	100033822	SNORD115-48
hs	100034248	LOC100034248
hs	100034700	AA1
hs	100034703	AA2
hs	100034704	RHDNS1
hs	100034705	MMVP3
hs	100034743	PDZK1P1
hs	100036563	SNORD115-24
hs	100036564	SNORD115-27
hs	100036565	SNORD115-28
hs	100036566	SNORD115-45
hs	100036567	SNORD115-47
hs	100036574	HMGN1P3
hs	100036575	HMGN1P4
hs	100037264	STQTL6
hs	100037265	STQTL7
hs	100037266	STQTL8
hs	100037267	LOC100037267
hs	100037280	UBE2D3P1
hs	100037417	DDTL
hs	100038246	TLX1NB
hs	100038247	PTLS
hs	100038248	PSNP3
hs	10004	NAALADL1
hs	100048903	MCCD1P1
hs	100048904	DDX39BP1
hs	100048905	GBD2
hs	100048906	GBD3
hs	100048907	ZDHHC20P1
hs	100048908	ZDHHC20P2
hs	100048909	TMEM183AP1
hs	100048912	CDKN2B-AS1
hs	100048922	RPL35AP4
hs	100048923	DDX39BP2
hs	100048924	MCCD1P2
hs	100049076	GUSBP9
hs	100049159	SPG37
hs	100049160	FEB7
hs	100049541	STUT1
hs	100049542	SHFM3
hs	100049543	STUT2
hs	100049544	APMR2
hs	100049579	OCTN3
hs	100049587	SIGLEC14
hs	100049613	TRK-TTT3-3
hs	100049614	TRV-CAC1-5
hs	100049615	SKCG-1
hs	100049707	SPG38
hs	100049716	LOC100049716
hs	100049717	JKAMPP1
hs	10005	ACOT8
hs	10006	ABI1
hs	10007	GNPDA1
hs	100073347	MIMT1
hs	10008	KCNE3
hs	10009	ZBTB33
hs	100093624	CDH12P3
hs	100093625	CDH12P1
hs	100093626	CDH12P4
hs	100093630	SNHG8
hs	100093631	GTF2IP4
hs	100093632	DFNA57
hs	100093698	GS1-600G8.3
hs	100093716	DFNB75
hs	1001	CDH3
hs	10010	TANK
hs	100101111	GXYLT1P1
hs	100101112	CDC14BL
hs	100101115	TTTY21B
hs	100101116	TTTY1B
hs	100101117	TTTY2B
hs	100101118	TTTY8B
hs	100101119	SKP1P3
hs	100101120	TTTY7B
hs	100101121	TTTY23B
hs	100101126	LOC100101126
hs	100101127	LOC100101127
hs	100101148	LOC100101148
hs	100101246	LOC100101246
hs	100101247	LOC100101247
hs	100101266	HAVCR1P1
hs	100101267	POM121C
hs	100101268	SPDYE12P
hs	100101405	TMA16P1
hs	100101407	TMA16P2
hs	100101423	MRT8
hs	100101424	MRT9
hs	100101425	MRT10
hs	100101426	MRT11
hs	100101440	PMS2P7
hs	100101467	ZSCAN30
hs	100101478	LOC100101478
hs	100101483	LOC100101483
hs	100101490	MCTS2P
hs	100101554	BRI3P3
hs	100101629	GAGE8
hs	100101917	ELF2P1
hs	100101932	GNG5P3
hs	100101933	GNG5P4
hs	100101935	GNG5P5
hs	100101938	ANKRD26P3
hs	10011	SRA1
hs	100113373	HMGN2P17
hs	100113374	LOC100113374
hs	100113375	LOC100113375
hs	100113378	SNORD119
hs	100113379	SNORD121A
hs	100113380	SNORD125
hs	100113381	SNORD19B
hs	100113382	SNORD105B
hs	100113383	PCBP3-OT1
hs	100113384	SNORD123
hs	100113386	UCKL1-AS1
